ATC_E53A76
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1708265512;23.8;62.12;2530
1708267311;23.83;61.78;2529
1708269116;23.87;61.67;2529
1708270918;23.82;60.63;2528
1708272721;23.78;60.17;2527
1708274523;23.62;59.31;2527
1708276323;23.51;59.07;2525
1708278127;23.46;58.83;2525
1708279930;23.4;58.58;2525
1708281732;23.37;58.43;2525
1708283534;22.75;66.79;2521
1708285337;21.65;80.06;2505
1708287136;21.83;82.11;2504
1708288941;21.93;81.53;2508
1708290743;21.53;80.04;2510
1708292545;21.5;78.71;2506
1708294348;20.98;85.95;2502
1708296150;20.71;87.3;2496
1708297952;20.63;87.32;2496
1708299755;20.59;86.94;2498
1708301557;20.59;86.55;2499
1708303359;20.62;86.62;2498
1708305161;20.69;87.07;2499
1708306964;20.75;87.12;2501
1708308766;20.8;86.99;2501
1708310568;20.83;86.92;2501
1708312370;20.85;86.82;2501
1708314173;20.88;86.8;2503
1708315975;20.9;86.77;2502
1708317777;20.94;86.83;2502
1708319577;20.98;86.82;2503
1708321382;21.02;86.95;2503
1708323184;21.06;86.65;2503
1708324986;21.07;86.45;2504
1708326786;21.1;86.36;2504
1708328591;21.12;86.19;2505
1708330393;21.15;86.28;2505
1708332195;21.44;84;2505
1708333995;21.83;83.02;2505
1708335800;21.99;82.64;2507
1708337602;22.15;82.02;2509
1708339404;22.27;81.15;2508
1708341206;22.32;80.2;2506
1708343006;22.36;79.38;2508
1708344811;22.45;78.77;2509
1708346613;22.64;77.32;2510
1708348416;23.4;75.53;2483
1708350218;23.38;73.7;2442
1708352020;23.32;71.85;2439
1708353822;23.36;70.81;2445
1708355624;23.44;69.84;2449
1708357427;23.5;68.8;2449
1708359226;23.57;67.56;2447
1708361031;23.67;67.01;2447
1708362833;23.82;66.55;2448
1708364636;23.96;66.02;2447
1708366438;24.1;65.33;2450
1708368240;24.18;64.53;2450
1708370042;24.23;63.74;2449
1708371845;24.25;62.99;2450
1708373647;24.26;62.34;2451
1708375449;24.24;61.73;2452
1708377249;23.19;60.55;2449
1708379054;22.54;74.68;2451
1708380856;21.75;84.82;2477
1708382658;21.42;83.94;2488
1708384460;21.27;83.14;2490
1708386263;21.23;83.51;2493
1708388065;21.22;83.61;2495
1708389867;21.24;83.46;2496
1708391669;21.27;83.38;2498
1708393469;21.29;83.13;2498
1708395274;21.31;82.88;2499
1708397076;21.32;82.83;2502
1708398878;21.36;82.97;2504
1708400680;21.4;82.85;2503
1708402483;21.45;83;2501
1708404285;21.52;82.9;2501
1708406087;21.57;82.95;2500
